AGE,SEGMENT,GENDER,MARITAL_STATUS,PROFESSION,MARKET
65,Arts,F,Married,Other,New York
41,Sports,F,Unspecified,Hospitality,New York
41,Sports,F,Unspecified,Hospitality,Los Angeles
17,Sports,M,Single,Student,Los Angeles
55,Family,M,Married,Trades,Chicago
55,Family,M,Married,Trades,New York
55,Family,M,Married,Trades,Chicago
55,Family,M,Married,Trades,Chicago
52,Music,F,Married,Executive,New York
35,Music,M,Married,Trades,New York
34,Sports,F,Single,Retail,New York
25,Music,M,Single,Other,New York
25,Music,M,Single,Other,New York
25,Music,M,Single,Other,Chicago
18,Sports,F,Single,Retail,Los Angeles
19,Sports,F,Single,Other,Los Angeles
36,Arts,M,Single,Professional,Chicago
33,Arts,M,Married,Professional,Chicago
33,Music,M,Married,Sales,New York
30,Sports,F,Single,Professional,Los Angeles
29,Music,F,Single,Other,New York
29,Music,F,Single,Other,New York
21,Arts,M,Single,Sales,Chicago
21,Music,M,Single,Sales,Los Angeles
44,Arts,F,Married,Other,DC
21,Sports,M,Single,Student,New York
21,Sports,M,Single,Student,DC
46,Family,M,Married,Trades,Chicago
47,Arts,F,Married,Sales,Chicago
34,Sports,F,Single,Professional,Los Angeles
24,Sports,F,Single,Professional,Los Angeles
27,Sports,F,Single,Retail,New York
28,Sports,F,Single,Professional,Los Angeles
26,Music,M,Married,Other,New York
26,Music,M,Married,Other,New York
29,Music,M,Single,Professional,New York
29,Music,M,Single,Professional,New York
29,Music,M,Single,Professional,New York
23,Sports,F,Single,Professional,Los Angeles
27,Music,M,Single,Other,New York
26,Music,F,Married,Executive,New York
26,Music,F,Married,Executive,New York
20,Music,F,Single,Other,New York
26,Music,M,Single,Other,Los Angeles
33,Music,M,Married,Other,Chicago
33,Music,M,Married,Other,New York
19,Arts,F,Single,Other,Chicago
19,Arts,F,Single,Other,Chicago
26,Arts,F,Married,Other,Chicago
26,Arts,F,Married,Other,Chicago
40,Music,F,Married,Other,New York
40,Music,F,Married,Other,New York
40,Music,F,Married,Other,New York
40,Arts,M,Single,Other,Chicago
40,Music,M,Single,Other,New York
40,Music,M,Single,Other,Chicago
40,Music,M,Single,Other,New York
40,Music,M,Single,Other,New York
44,Arts,M,Single,Other,Chicago
44,Arts,M,Single,Other,Chicago
43,Music,M,Married,Trades,Los Angeles
43,Music,M,Married,Trades,New York
24,Sports,F,Single,Retail,Los Angeles
28,Music,M,Unspecified,Sales,New York
22,Sports,F,Single,Professional,Los Angeles
20,Sports,F,Married,Retail,Los Angeles
46,Sports,F,Married,Retail,Los Angeles
31,Music,M,Unspecified,Sales,New York
31,Music,M,Unspecified,Sales,New York
31,Music,M,Unspecified,Sales,New York
31,Music,M,Unspecified,Sales,Los Angeles
31,Music,M,Unspecified,Sales,New York
23,Music,F,Single,Student,New York
23,Sports,F,Single,Student,Los Angeles
37,Music,F,Married,Other,New York
37,Music,F,Married,Other,New York
50,Sports,F,Married,Other,New York
18,Sports,F,Single,Student,New York
30,Arts,M,Single,Trades,Chicago
67,Arts,F,Married,Other,Chicago
30,Music,M,Married,Other,New York
24,Music,M,Single,Professional,New York
31,Music,F,Married,Other,DC
31,Music,F,Married,Other,New York
35,Music,M,Married,Other,New York
41,Music,M,Married,Trades,New York
41,Music,M,Married,Trades,Chicago
25,Sports,F,Single,Other,Los Angeles
23,Sports,F,Single,Other,New York
25,Sports,F,Single,Other,Los Angeles
30,Music,F,Married,Hospitality,New York
49,Music,M,Unspecified,Trades,DC
39,Music,M,Married,Other,New York
34,Music,F,Married,Other,New York
34,Music,F,Married,Other,New York
28,Sports,M,Single,Student,Los Angeles
42,Music,F,Married,Other,New York
27,Sports,F,Single,Other,New York
25,Music,M,Single,Professional,New York
55,Family,M,Married,Other,Chicago
27,Music,M,Married,Other,New York
27,Music,M,Married,Other,New York
19,Sports,F,Single,Professional,Los Angeles
50,Arts,M,Married,Professional,Chicago
33,Arts,F,Married,Other,Chicago
33,Music,F,Married,Other,New York
35,Music,M,Married,Sales,Chicago
26,Music,M,Married,Sales,New York
26,Music,M,Married,Sales,New York
31,Music,F,Married,Retail,New York
31,Music,F,Married,Retail,New York
42,Music,M,Married,Sales,New York
42,Arts,M,Married,Sales,Los Angeles
40,Music,F,Married,Other,New York
40,Music,F,Married,Other,New York
21,Sports,F,Married,Other,New York
19,Arts,F,Single,Other,Chicago
43,Music,F,Married,Other,New York
43,Music,F,Married,Other,Chicago
31,Music,F,Married,Other,Chicago
31,Arts,F,Married,Other,New York
49,Music,F,Married,Executive,New York
49,Music,F,Married,Executive,New York
43,Family,M,Married,Trades,Chicago
43,Music,M,Married,Trades,New York
29,Music,F,Single,Hospitality,New York
29,Music,F,Single,Hospitality,New York
24,Music,F,Single,Retail,New York
20,Arts,M,Single,Other,Chicago
20,Arts,M,Single,Other,Chicago
33,Music,M,Married,Executive,New York
19,Arts,M,Single,Other,Chicago
27,Music,M,Married,Other,New York
27,Music,M,Married,Executive,Chicago
27,Music,M,Married,Executive,New York
27,Music,M,Married,Executive,New York
22,Music,F,Single,Other,New York
22,Music,F,Single,Other,New York
25,Sports,F,Single,Retail,Los Angeles
39,Music,F,Married,Other,New York
28,Sports,F,Single,Other,New York
20,Sports,F,Single,Student,Los Angeles
46,Arts,F,Married,Other,Chicago
46,Arts,F,Married,Other,Chicago
22,Arts,M,Single,Other,Chicago
40,Music,F,Married,Other,New York
27,Music,F,Single,Other,New York
57,Sports,F,Married,Retired,New York
27,Family,F,Single,Other,Chicago
27,Arts,F,Single,Other,Chicago
21,Sports,F,Single,Other,DC
25,Sports,F,Married,Executive,New York
35,Music,M,Married,Other,New York
39,Music,M,Married,Executive,DC
39,Family,M,Married,Executive,DC
33,Music,F,Married,Hospitality,New York
23,Sports,F,Single,Retail,Chicago
44,Music,F,Married,Other,New York
31,Music,M,Married,Sales,New York
31,Music,M,Married,Sales,New York
23,Sports,F,Single,Retail,Los Angeles
24,Sports,M,Single,Student,Los Angeles
24,Sports,M,Single,Student,Los Angeles
31,Music,M,Single,Professional,New York
31,Music,M,Single,Professional,New York
19,Sports,F,Single,Retail,Los Angeles
33,Music,M,Single,Other,New York
33,Music,M,Single,Other,New York
41,Music,M,Married,Other,New York
25,Arts,F,Married,Other,Chicago
25,Arts,F,Married,Other,Chicago
43,Family,M,Single,Other,Chicago
43,Sports,M,Single,Other,Los Angeles
43,Music,M,Single,Other,New York
19,Arts,M,Single,Other,Chicago
19,Arts,M,Single,Other,Chicago
28,Arts,M,Single,Sales,Los Angeles
28,Arts,M,Single,Sales,Chicago
27,Arts,M,Single,Sales,Chicago
38,Music,F,Married,Other,New York
38,Music,F,Married,Other,New York
37,Music,M,Married,Trades,New York
34,Arts,F,Married,Other,Chicago
34,Music,F,Married,Other,New York
46,Music,F,Married,Executive,New York
46,Music,F,Married,Executive,Los Angeles
41,Music,M,Married,Other,New York
41,Music,M,Married,Other,New York
44,Music,M,Single,Professional,New York
38,Sports,F,Single,Retail,Los Angeles
31,Music,F,Married,Hospitality,New York
31,Music,F,Married,Hospitality,New York
27,Music,F,Married,Retail,New York
27,Music,F,Married,Retail,New York
45,Arts,F,Married,Other,Chicago
24,Sports,M,Single,Student,New York
24,Sports,M,Single,Student,New York
39,Music,M,Married,Other,New York
39,Arts,M,Married,Other,Chicago
28,Sports,F,Single,Student,Los Angeles
28,Sports,F,Single,Student,Chicago
32,Family,M,Single,Other,Chicago
32,Family,M,Single,Other,Chicago
32,Family,M,Single,Other,Chicago
52,Sports,F,Unspecified,Hospitality,New York
37,Family,M,Unspecified,Trades,Chicago
29,Music,M,Single,Professional,New York
41,Arts,M,Married,Professional,Chicago
34,Sports,F,Single,Retail,Los Angeles
50,Arts,F,Married,Other,Chicago
50,Arts,F,Married,Other,New York
27,Arts,M,Single,Trades,New York
27,Sports,F,Single,Other,Los Angeles
19,Music,M,Single,Professional,New York
23,Arts,F,Married,Other,Chicago
23,Sports,F,Married,Other,DC
36,Music,M,Married,Sales,New York
27,Sports,F,Single,Other,New York
23,Music,F,Single,Hospitality,New York
27,Music,M,Married,Other,DC
41,Music,M,Married,Executive,New York
28,Sports,F,Single,Other,Los Angeles
31,Sports,F,Married,Professional,New York
32,Music,M,Married,Executive,New York
32,Music,M,Married,Executive,New York
64,Arts,F,Married,Other,Chicago
27,Sports,F,Single,Student,Los Angeles
29,Arts,F,Married,Other,Chicago
36,Music,M,Married,Executive,Los Angeles
35,Music,M,Married,Executive,New York
35,Music,M,Married,Executive,New York
35,Music,M,Married,Executive,New York
35,Music,M,Married,Executive,DC
35,Music,M,Married,Executive,New York
35,Music,M,Married,Executive,New York
48,Music,F,Married,Retail,New York
48,Music,F,Married,Retail,New York
34,Music,M,Married,Other,Los Angeles
34,Music,M,Married,Other,New York
22,Arts,M,Single,Sales,New York
28,Music,M,Single,Professional,New York
35,Sports,F,Single,Professional,Los Angeles
38,Sports,F,Married,Executive,New York
39,Music,M,Single,Other,New York
24,Sports,F,Single,Student,Los Angeles
31,Sports,F,Single,Other,Los Angeles
42,Music,M,Married,Other,New York
42,Music,M,Married,Other,New York
23,Music,F,Single,Hospitality,New York
36,Music,F,Married,Other,New York
36,Music,F,Married,Other,Los Angeles
22,Sports,F,Single,Student,Los Angeles
26,Sports,F,Single,Sales,Los Angeles
31,Arts,M,Single,Trades,Chicago
31,Arts,M,Single,Trades,Chicago
31,Music,F,Married,Other,New York
49,Sports,F,Married,Professional,New York
22,Sports,F,Single,Retail,Los Angeles
37,Music,M,Married,Other,New York
25,Sports,M,Single,Other,Los Angeles
37,Music,M,Married,Trades,New York
37,Music,M,Married,Trades,New York
43,Music,M,Married,Sales,New York
43,Music,M,Married,Sales,DC
43,Music,M,Married,Sales,New York
43,Arts,M,Single,Other,Chicago
43,Arts,M,Single,Other,Los Angeles
43,Arts,M,Single,Other,DC
43,Arts,M,Single,Other,DC
35,Sports,F,Married,Professional,New York
35,Sports,F,Married,Professional,New York
49,Arts,F,Married,Other,Chicago
49,Music,F,Married,Other,New York
35,Sports,F,Unspecified,Hospitality,New York
35,Sports,F,Unspecified,Hospitality,Los Angeles
35,Arts,F,Unspecified,Hospitality,Los Angeles
35,Sports,F,Unspecified,Hospitality,Los Angeles
28,Music,M,Single,Professional,New York
35,Music,M,Married,Other,New York
26,Music,M,Married,Executive,New York
44,Family,M,Married,Other,Chicago
28,Music,M,Married,Other,Los Angeles
28,Music,M,Married,Other,New York
38,Music,F,Married,Executive,New York
22,Sports,M,Single,Professional,Los Angeles
22,Music,M,Single,Professional,New York
24,Arts,M,Single,Retail,New York
24,Arts,M,Single,Retail,Chicago
24,Arts,M,Single,Retail,Chicago
41,Sports,F,Unspecified,Hospitality,Los Angeles
41,Family,F,Unspecified,Hospitality,Los Angeles
29,Sports,F,Single,Other,Los Angeles
65,Sports,F,Unspecified,Hospitality,Los Angeles
42,Music,M,Married,Sales,New York
40,Music,F,Married,Sales,Los Angeles
37,Arts,M,Unspecified,Trades,Chicago
37,Family,M,Unspecified,Trades,Chicago
37,Family,M,Unspecified,Trades,Chicago
32,Music,F,Married,Executive,New York
21,Music,F,Single,Hospitality,New York
21,Music,F,Single,Hospitality,New York
43,Music,M,Married,Sales,New York
67,Arts,F,Married,Other,DC
40,Music,M,Married,Other,New York
40,Music,M,Married,Other,New York
19,Arts,M,Single,Student,New York
19,Sports,M,Single,Student,Los Angeles
19,Sports,M,Single,Student,New York
39,Music,F,Married,Other,New York
50,Family,M,Unspecified,Other,Chicago
50,Family,M,Unspecified,Other,Chicago
29,Arts,M,Single,Trades,Chicago
29,Arts,M,Single,Trades,Chicago
48,Sports,F,Unspecified,Hospitality,Los Angeles
22,Sports,F,Single,Retail,New York
37,Music,F,Married,Other,New York
23,Music,M,Single,Executive,New York
23,Music,M,Single,Executive,New York
37,Sports,F,Married,Professional,Los Angeles
32,Music,F,Married,Executive,New York
32,Music,F,Married,Executive,New York
19,Sports,F,Single,Other,Los Angeles
26,Sports,F,Single,Other,Los Angeles
39,Music,M,Married,Other,New York
37,Music,F,Married,Other,DC
37,Music,F,Married,Other,New York
20,Music,F,Married,Retail,New York
51,Arts,F,Married,Other,Chicago
24,Sports,F,Single,Professional,Los Angeles
38,Music,M,Single,Professional,New York
38,Music,M,Single,Professional,New York
38,Music,M,Single,Professional,New York
38,Music,M,Married,Trades,New York
36,Music,M,Married,Trades,New York
36,Music,M,Married,Trades,New York
44,Music,F,Married,Executive,New York
20,Sports,F,Single,Other,New York
31,Arts,M,Single,Professional,Chicago
31,Arts,M,Single,Professional,Chicago
46,Music,F,Married,Hospitality,New York
46,Music,F,Married,Hospitality,New York
32,Arts,M,Single,Other,Chicago
28,Arts,M,Single,Trades,Chicago
28,Arts,M,Single,Trades,Chicago
28,Arts,M,Single,Trades,Chicago
37,Music,F,Married,Other,DC
37,Music,F,Married,Other,New York
37,Arts,F,Married,Other,Los Angeles
33,Music,M,Single,Other,New York
29,Sports,F,Single,Retail,New York
35,Music,M,Married,Other,DC
35,Music,M,Married,Other,Chicago
28,Sports,F,Single,Professional,Los Angeles
32,Arts,M,Married,Professional,Chicago
31,Family,M,Single,Other,Chicago
31,Family,M,Single,Other,Chicago
22,Sports,F,Single,Professional,New York
26,Arts,M,Single,Sales,Chicago
44,Family,M,Married,Trades,Chicago
30,Arts,M,Married,Professional,Chicago
28,Sports,F,Single,Retail,New York
28,Sports,F,Married,Executive,Los Angeles
29,Music,M,Single,Other,New York
29,Music,M,Single,Other,New York
35,Music,M,Married,Sales,New York
40,Music,M,Married,Other,New York
40,Music,M,Married,Other,New York
21,Sports,M,Single,Student,DC
29,Music,M,Single,Professional,New York
40,Music,M,Married,Other,New York
46,Arts,M,Married,Professional,Chicago
46,Arts,M,Married,Professional,Chicago
46,Arts,M,Married,Professional,Chicago
31,Music,M,Unspecified,Professional,New York
22,Music,M,Single,Sales,New York
22,Music,M,Single,Sales,New York
35,Sports,F,Married,Professional,Los Angeles
32,Music,F,Married,Executive,New York
39,Music,M,Married,Other,New York
39,Music,M,Married,Other,New York
19,Music,M,Single,Sales,New York
26,Sports,F,Single,Other,Los Angeles
42,Music,M,Married,Other,New York
42,Music,M,Married,Other,New York
41,Music,F,Married,Other,New York
41,Arts,F,Married,Other,Los Angeles
24,Music,M,Single,Other,New York
48,Arts,F,Married,Other,Chicago
41,Arts,M,Married,Professional,Chicago
41,Arts,M,Married,Professional,Chicago
46,Sports,F,Married,Other,New York
39,Music,F,Married,Other,New York
20,Sports,F,Single,Other,Los Angeles
19,Music,F,Single,Other,New York
42,Music,F,Married,Sales,New York
32,Sports,F,Married,Professional,Los Angeles
21,Sports,F,Single,Other,Los Angeles
25,Music,M,Single,Other,New York
25,Music,M,Single,Other,New York
48,Sports,F,Married,Professional,Los Angeles
30,Music,M,Single,Other,New York
30,Music,M,Single,Other,Los Angeles
27,Music,M,Single,Professional,New York
49,Arts,M,Married,Professional,Chicago
49,Arts,M,Married,Professional,DC
49,Arts,M,Married,Professional,Chicago
40,Music,M,Married,Other,New York
38,Sports,F,Unspecified,Hospitality,New York
38,Sports,F,Unspecified,Hospitality,Los Angeles
55,Family,M,Unspecified,Other,Chicago
55,Family,M,Unspecified,Other,Los Angeles
21,Music,M,Single,Sales,New York
21,Arts,M,Single,Sales,Chicago
57,Arts,F,Married,Other,Chicago
57,Arts,F,Married,Other,Chicago
57,Arts,F,Married,Other,Chicago
24,Sports,F,Single,Sales,Los Angeles
34,Music,F,Married,Executive,Chicago
34,Music,F,Married,Executive,New York
34,Music,F,Married,Executive,New York
34,Music,M,Married,Executive,New York
34,Music,M,Married,Executive,New York
28,Sports,F,Single,Sales,Los Angeles
29,Arts,M,Single,Sales,DC
21,Music,F,Married,Retail,New York
21,Music,F,Married,Retail,New York
21,Music,F,Married,Retail,New York
39,Family,F,Married,Other,Chicago
39,Music,F,Married,Other,New York
39,Music,F,Married,Other,New York
39,Family,F,Married,Other,Chicago
34,Arts,M,Single,Trades,Chicago
34,Arts,M,Single,Trades,Chicago
34,Music,M,Married,Other,New York
34,Music,F,Married,Executive,Los Angeles
26,Arts,F,Married,Other,DC
26,Arts,F,Married,Other,Chicago
37,Sports,F,Single,Other,New York
29,Sports,F,Single,Other,Los Angeles
19,Music,M,Single,Professional,DC
41,Music,M,Married,Other,New York
41,Music,M,Married,Other,Chicago
41,Music,M,Married,Other,Chicago
27,Sports,F,Single,Professional,New York
33,Arts,M,Single,Trades,Chicago
38,Sports,F,Single,Other,Los Angeles
44,Arts,F,Married,Other,Chicago
40,Music,F,Married,Other,New York
40,Music,F,Married,Other,New York
40,Music,F,Married,Other,New York
40,Music,F,Married,Other,New York
31,Music,M,Married,Trades,New York
32,Music,M,Married,Executive,New York
35,Music,M,Married,Other,New York
35,Music,M,Married,Other,New York
18,Sports,F,Single,Professional,Chicago
40,Music,M,Married,Other,New York
40,Music,M,Married,Other,Los Angeles
40,Music,M,Married,Other,New York
57,Family,M,Married,Trades,Chicago
57,Family,M,Married,Trades,Chicago
20,Arts,M,Single,Other,Chicago
27,Sports,F,Single,Other,Los Angeles
51,Arts,F,Married,Other,Chicago
33,Sports,F,Single,Professional,Los Angeles
21,Sports,F,Single,Professional,Los Angeles
25,Music,M,Single,Other,New York
32,Music,F,Married,Other,New York
32,Music,F,Married,Other,New York
32,Music,F,Married,Other,New York
22,Arts,F,Married,Other,Chicago
26,Sports,F,Single,Other,Los Angeles
22,Arts,M,Single,Sales,Chicago
22,Arts,M,Single,Sales,DC
25,Sports,M,Single,Student,Los Angeles
25,Sports,M,Single,Student,Los Angeles
25,Sports,M,Single,Student,New York
26,Arts,F,Married,Other,Chicago
26,Arts,F,Married,Other,Chicago
62,Arts,F,Married,Other,Chicago
21,Music,M,Single,Trades,New York
21,Music,M,Single,Trades,New York
31,Music,F,Married,Hospitality,New York
31,Music,F,Married,Hospitality,New York
19,Music,M,Single,Professional,New York
19,Sports,M,Single,Professional,New York
25,Arts,F,Single,Other,Chicago
25,Family,F,Single,Other,Los Angeles
35,Sports,F,Single,Professional,Los Angeles
28,Arts,M,Single,Sales,Chicago
28,Arts,M,Single,Sales,Chicago
24,Arts,M,Single,Other,Chicago
37,Music,F,Married,Other,DC
36,Arts,M,Married,Professional,Chicago
36,Arts,M,Married,Professional,Chicago
36,Arts,M,Married,Professional,Chicago
40,Music,M,Married,Other,New York
40,Music,M,Married,Other,New York
37,Sports,M,Married,Other,Los Angeles
67,Arts,F,Married,Other,Chicago
24,Music,M,Single,Other,New York
24,Arts,M,Single,Other,Chicago
23,Music,F,Single,Other,New York
34,Music,M,Married,Sales,New York
19,Arts,M,Single,Other,Chicago
37,Sports,F,Single,Retail,New York
20,Sports,F,Single,Other,Los Angeles
38,Sports,F,Married,Professional,Los Angeles
25,Sports,F,Single,Other,New York
27,Sports,F,Single,Professional,Los Angeles
33,Music,M,Married,Other,New York
33,Music,M,Married,Other,New York
33,Music,M,Married,Other,New York
20,Sports,F,Single,Other,Los Angeles
31,Arts,M,Single,Other,Chicago
42,Music,M,Married,Other,New York
21,Sports,M,Single,Student,New York
48,Family,M,Unspecified,Other,DC
48,Family,M,Unspecified,Other,Chicago
48,Family,M,Unspecified,Other,Chicago
49,Arts,F,Married,Other,Los Angeles
49,Music,F,Married,Hospitality,Chicago
38,Music,F,Married,Executive,New York
38,Music,F,Married,Executive,New York
31,Music,M,Single,Professional,New York
24,Music,F,Single,Other,New York
24,Music,F,Single,Other,New York
24,Music,F,Single,Other,New York
24,Music,F,Single,Other,Chicago
25,Music,M,Single,Other,New York
25,Music,M,Single,Other,Los Angeles
19,Arts,M,Single,Student,Chicago
30,Music,M,Married,Other,New York
30,Music,M,Married,Other,New York
44,Arts,M,Single,Other,Chicago
26,Music,F,Single,Other,New York
36,Music,F,Married,Other,New York
42,Arts,M,Single,Other,Los Angeles
42,Arts,M,Single,Other,New York
38,Music,F,Married,Executive,New York
39,Music,M,Married,Sales,New York
45,Music,F,Married,Hospitality,New York
20,Music,F,Single,Other,New York
33,Music,F,Married,Other,New York
47,Sports,F,Married,Retired,Los Angeles
34,Music,F,Married,Retail,New York
40,Music,M,Married,Trades,New York
25,Sports,F,Married,Professional,Los Angeles
25,Sports,F,Single,Professional,Los Angeles
19,Music,M,Single,Professional,New York
19,Music,M,Single,Professional,New York
27,Music,M,Married,Professional,New York
47,Music,F,Unspecified,Hospitality,New York
40,Music,M,Married,Trades,New York
40,Music,M,Married,Trades,New York
40,Music,M,Married,Trades,New York
29,Music,M,Married,Professional,DC
19,Sports,F,Single,Student,Los Angeles
34,Arts,M,Single,Professional,Chicago
34,Arts,M,Single,Professional,Chicago
46,Music,F,Married,Executive,New York
46,Music,F,Married,Executive,Los Angeles
52,Family,F,Married,Other,Chicago
38,Music,M,Married,Executive,New York
38,Music,M,Married,Executive,New York
43,Arts,M,Single,Sales,Chicago
30,Music,F,Married,Hospitality,New York
31,Music,F,Married,Other,New York
31,Music,F,Married,Other,New York
31,Music,F,Married,Other,New York
24,Music,M,Single,Professional,New York
29,Music,F,Single,Hospitality,New York
39,Music,F,Unspecified,Other,New York
39,Music,F,Unspecified,Other,Chicago
39,Music,F,Unspecified,Other,New York
62,Sports,F,Married,Other,New York
29,Sports,F,Single,Professional,Los Angeles
51,Sports,F,Married,Other,Los Angeles
52,Arts,F,Married,Other,New York
52,Arts,F,Married,Other,Chicago
46,Arts,F,Married,Other,Chicago
46,Arts,F,Married,Other,Chicago
22,Music,M,Single,Professional,Chicago
52,Arts,F,Married,Other,Chicago
23,Music,M,Single,Professional,New York
29,Arts,M,Single,Trades,Chicago
40,Music,M,Married,Sales,Chicago
37,Music,M,Married,Sales,New York
37,Music,M,Married,Sales,New York
40,Music,M,Married,Sales,Chicago
56,Family,M,Married,Other,Chicago
27,Music,M,Single,Professional,New York
27,Music,M,Single,Professional,New York
52,Arts,F,Married,Other,Chicago
27,Sports,F,Single,Professional,Los Angeles
20,Arts,M,Single,Trades,DC
44,Family,M,Married,Trades,Chicago
44,Family,M,Married,Trades,Chicago
40,Music,M,Married,Trades,DC
38,Music,M,Married,Sales,Los Angeles
19,Arts,M,Single,Sales,Chicago
19,Arts,M,Single,Sales,Los Angeles
24,Sports,M,Single,Student,New York
48,Sports,F,Married,Other,Los Angeles
27,Arts,F,Single,Student,Chicago
27,Sports,F,Single,Student,Los Angeles
27,Sports,F,Single,Student,Los Angeles
27,Arts,F,Single,Student,Los Angeles
39,Sports,F,Single,Other,Los Angeles
33,Arts,M,Married,Professional,Chicago
33,Family,M,Married,Professional,New York
27,Sports,F,Married,Sales,New York
26,Music,M,Married,Other,New York
33,Music,M,Married,Other,New York
34,Music,M,Married,Sales,New York
39,Music,M,Married,Sales,New York
42,Music,F,Married,Other,New York
28,Music,M,Single,Professional,Chicago
23,Sports,M,Single,Student,New York
41,Music,F,Married,Executive,Los Angeles
41,Music,F,Married,Executive,New York
46,Arts,F,Married,Other,New York
66,Sports,F,Unspecified,Hospitality,Los Angeles
66,Sports,F,Unspecified,Hospitality,New York
43,Music,M,Married,Other,New York
43,Sports,M,Married,Other,Los Angeles
37,Music,F,Married,Executive,New York
43,Music,M,Married,Other,New York
21,Sports,M,Single,Student,Los Angeles
42,Music,M,Married,Other,New York
27,Arts,M,Single,Trades,Chicago
20,Music,M,Single,Other,New York
20,Arts,M,Single,Other,Chicago
28,Music,M,Single,Professional,New York
31,Music,M,Married,Trades,DC
26,Music,M,Single,Other,New York
23,Arts,M,Single,Sales,Chicago
35,Music,F,Married,Other,New York
35,Music,F,Married,Other,New York
58,Family,M,Married,Other,Chicago
49,Sports,F,Married,Other,New York
41,Sports,F,Married,Retired,New York
63,Sports,F,Married,Retired,Chicago
38,Music,F,Married,Other,Chicago
30,Music,F,Married,Hospitality,New York
27,Music,F,Single,Other,New York
27,Music,F,Single,Other,Chicago
33,Sports,M,Married,Sales,New York
33,Sports,M,Married,Sales,New York
44,Family,M,Married,Other,Chicago
24,Music,M,Single,Other,New York
24,Music,M,Single,Other,New York
44,Arts,F,Married,Other,Chicago
44,Arts,F,Married,Other,Chicago
35,Music,F,Married,Executive,New York
24,Music,M,Single,Other,New York
24,Arts,M,Single,Other,Chicago
44,Family,M,Married,Trades,Chicago
44,Family,M,Married,Trades,Chicago
44,Family,M,Married,Trades,Chicago
25,Music,F,Single,Other,Chicago
25,Music,F,Single,Other,New York
25,Music,F,Single,Other,New York
25,Music,F,Single,Other,DC
41,Arts,M,Single,Sales,Chicago
41,Arts,M,Single,Sales,Chicago
41,Music,M,Single,Sales,New York
41,Arts,M,Single,Sales,Chicago
41,Arts,M,Single,Sales,Chicago
41,Arts,M,Single,Sales,Los Angeles
40,Arts,M,Married,Professional,Chicago
39,Music,F,Married,Executive,New York
40,Music,M,Married,Executive,New York
40,Music,M,Married,Executive,New York
43,Music,F,Married,Other,New York
43,Music,F,Married,Other,New York
